Second,Volt,Volt2,
-3.04000e-03,2.00e-01,1.79e-01, 
-2.94000e-03,4.00e-01,1.61e-01, 
-2.84000e-03,4.00e-01,1.78e-01, 
-2.74000e-03,6.00e-01,1.61e-01, 
-2.64000e-03,6.00e-01,1.80e-01, 
-2.54000e-03,6.00e-01,1.62e-01, 
-2.44000e-03,6.00e-01,1.60e-01, 
-2.34000e-03,8.00e-01,1.78e-01, 
-2.24000e-03,8.00e-01,1.83e-01, 
-2.14000e-03,1.00e+00,1.60e-01, 
-2.04000e-03,1.00e+00,1.60e-01, 
-1.94000e-03,1.20e+00,1.81e-01, 
-1.84000e-03,1.20e+00,1.61e-01, 
-1.74000e-03,1.40e+00,1.81e-01, 
-1.64000e-03,1.40e+00,1.61e-01, 
-1.54000e-03,1.40e+00,1.82e-01, 
-1.44000e-03,1.40e+00,1.81e-01, 
-1.34000e-03,1.60e+00,1.62e-01, 
-1.24000e-03,1.60e+00,1.62e-01, 
-1.14000e-03,1.80e+00,1.83e-01, 
-1.04000e-03,1.80e+00,1.62e-01, 
-9.40000e-04,2.00e+00,1.83e-01, 
-8.40000e-04,2.00e+00,1.82e-01, 
-7.40000e-04,2.00e+00,1.60e-01, 
-6.40000e-04,2.00e+00,1.61e-01, 
-5.40000e-04,2.20e+00,1.83e-01, 
-4.40000e-04,2.20e+00,1.83e-01, 
-3.40000e-04,2.40e+00,1.63e-01, 
-2.40000e-04,2.40e+00,1.85e-01, 
-1.40000e-04,2.60e+00,1.61e-01, 
-4.00000e-05,2.60e+00,1.62e-01, 
6.00000e-05,2.80e+00,1.86e-01, 
1.60000e-04,2.80e+00,1.63e-01, 
2.60000e-04,2.80e+00,1.86e-01, 
3.60000e-04,2.80e+00,1.86e-01, 
4.60000e-04,3.00e+00,1.62e-01, 
5.60000e-04,3.20e+00,1.65e-01, 
6.60000e-04,3.00e+00,1.88e-01, 
7.60000e-04,3.20e+00,1.64e-01, 
8.60000e-04,3.40e+00,1.88e-01, 
9.60000e-04,3.40e+00,1.89e-01, 
1.06000e-03,3.40e+00,1.64e-01, 
1.16000e-03,3.40e+00,1.63e-01, 
1.26000e-03,3.60e+00,1.90e-01, 
1.36000e-03,3.60e+00,1.92e-01, 
1.46000e-03,3.80e+00,1.62e-01, 
1.56000e-03,3.80e+00,1.66e-01, 
1.66000e-03,4.00e+00,1.93e-01, 
1.76000e-03,4.00e+00,1.62e-01, 
1.86000e-03,4.20e+00,1.93e-01, 
1.96000e-03,4.20e+00,1.65e-01, 
2.06000e-03,4.20e+00,1.91e-01, 
2.16000e-03,4.20e+00,1.65e-01, 
2.26000e-03,4.60e+00,1.94e-01, 
2.36000e-03,4.60e+00,1.94e-01, 
2.46000e-03,4.80e+00,1.65e-01, 
2.56000e-03,4.80e+00,1.66e-01, 
2.66000e-03,4.80e+00,1.95e-01, 
2.76000e-03,4.80e+00,1.66e-01, 
2.86000e-03,4.80e+00,1.96e-01, 
2.96000e-03,5.00e+00,1.95e-01, 
3.06000e-03,5.20e+00,1.65e-01, 
3.16000e-03,5.00e+00,1.66e-01, 
3.26000e-03,5.40e+00,2.00e-01, 
3.36000e-03,5.40e+00,1.67e-01, 
3.46000e-03,5.60e+00,1.98e-01, 
3.56000e-03,5.60e+00,1.67e-01, 
3.66000e-03,5.60e+00,1.99e-01, 
3.76000e-03,5.60e+00,1.66e-01, 
3.86000e-03,5.80e+00,2.01e-01, 
3.96000e-03,5.80e+00,1.99e-01, 
4.06000e-03,6.00e+00,1.67e-01, 
4.16000e-03,6.00e+00,1.66e-01, 
4.26000e-03,6.20e+00,2.03e-01, 
4.36000e-03,6.20e+00,2.02e-01, 
4.46000e-03,6.40e+00,1.67e-01, 
4.56000e-03,6.40e+00,2.04e-01, 
4.66000e-03,6.40e+00,1.67e-01, 
4.76000e-03,6.40e+00,1.69e-01, 
4.86000e-03,6.60e+00,2.06e-01, 
4.96000e-03,6.60e+00,1.70e-01, 
5.06000e-03,6.80e+00,2.04e-01, 
5.16000e-03,6.80e+00,2.06e-01, 
5.26000e-03,7.00e+00,1.70e-01, 
5.36000e-03,7.00e+00,1.70e-01, 
5.46000e-03,7.20e+00,2.06e-01, 
5.56000e-03,7.20e+00,1.70e-01, 
5.66000e-03,7.00e+00,2.10e-01, 
5.76000e-03,7.20e+00,2.09e-01, 
5.86000e-03,7.40e+00,1.70e-01, 
5.96000e-03,7.20e+00,2.12e-01, 
6.06000e-03,7.00e+00,1.74e-01, 
6.16000e-03,7.00e+00,2.09e-01, 
6.26000e-03,7.00e+00,1.72e-01, 
6.36000e-03,7.00e+00,2.09e-01, 
6.46000e-03,6.80e+00,1.72e-01, 
6.56000e-03,6.80e+00,1.72e-01, 
6.66000e-03,6.60e+00,2.07e-01, 
6.76000e-03,6.80e+00,1.73e-01, 
6.86000e-03,6.40e+00,1.93e-01, 
6.96000e-03,6.40e+00,2.02e-01, 
7.06000e-03,6.40e+00,1.84e-01, 
7.16000e-03,6.40e+00,1.70e-01, 
7.26000e-03,6.20e+00,2.07e-01, 
7.36000e-03,6.20e+00,2.07e-01, 
7.46000e-03,6.00e+00,1.70e-01, 
7.56000e-03,6.00e+00,1.73e-01, 
7.66000e-03,5.80e+00,2.07e-01, 
7.76000e-03,5.80e+00,2.02e-01, 
7.86000e-03,5.60e+00,1.84e-01, 
7.96000e-03,5.60e+00,1.70e-01, 
8.06000e-03,5.60e+00,2.02e-01, 
8.16000e-03,5.40e+00,2.08e-01, 
8.26000e-03,5.60e+00,1.69e-01, 
8.36000e-03,5.40e+00,1.70e-01, 
8.46000e-03,5.00e+00,2.02e-01, 
8.56000e-03,5.00e+00,1.66e-01, 
8.66000e-03,5.20e+00,1.95e-01, 
8.76000e-03,4.80e+00,2.02e-01, 
8.86000e-03,4.80e+00,1.68e-01, 
8.96000e-03,4.80e+00,2.04e-01, 
9.06000e-03,4.60e+00,1.68e-01, 
9.16000e-03,4.60e+00,1.68e-01, 
9.26000e-03,4.40e+00,2.03e-01, 
9.36000e-03,4.40e+00,1.67e-01, 
9.46000e-03,4.20e+00,2.02e-01, 
9.56000e-03,4.20e+00,1.97e-01, 
9.66000e-03,4.20e+00,1.66e-01, 
9.76000e-03,4.20e+00,1.66e-01, 
9.86000e-03,4.00e+00,2.00e-01, 
9.96000e-03,4.00e+00,2.00e-01, 
1.00600e-02,3.80e+00,1.68e-01, 
1.01600e-02,3.80e+00,1.66e-01, 
1.02600e-02,3.60e+00,1.97e-01, 
1.03600e-02,3.60e+00,1.65e-01, 
1.04600e-02,3.40e+00,1.97e-01, 
1.05600e-02,3.40e+00,1.66e-01, 
1.06600e-02,3.40e+00,1.95e-01, 
1.07600e-02,3.40e+00,1.66e-01, 
1.08600e-02,3.20e+00,1.95e-01, 
1.09600e-02,3.20e+00,1.94e-01, 
1.10600e-02,3.00e+00,1.64e-01, 
1.11600e-02,3.00e+00,1.64e-01, 
1.12600e-02,2.80e+00,1.93e-01, 
1.13600e-02,2.80e+00,1.91e-01, 
1.14600e-02,2.80e+00,1.64e-01, 
1.15600e-02,2.80e+00,1.63e-01, 
1.16600e-02,2.60e+00,1.93e-01, 
1.17600e-02,2.60e+00,1.94e-01, 
1.18600e-02,2.40e+00,1.63e-01, 
1.19600e-02,2.40e+00,1.65e-01, 
1.20600e-02,2.20e+00,1.90e-01, 
1.21600e-02,2.20e+00,1.90e-01, 
1.22600e-02,2.00e+00,1.63e-01, 
1.23600e-02,2.00e+00,1.89e-01, 
1.24600e-02,2.00e+00,1.63e-01, 
1.25600e-02,2.00e+00,1.90e-01, 
1.26600e-02,1.80e+00,1.64e-01, 
1.27600e-02,1.60e+00,1.86e-01, 
1.28600e-02,1.80e+00,1.63e-01, 
1.29600e-02,1.60e+00,1.63e-01, 
1.30600e-02,1.40e+00,1.86e-01, 
1.31600e-02,1.40e+00,1.62e-01, 
1.32600e-02,1.40e+00,1.86e-01, 
1.33600e-02,1.40e+00,1.86e-01, 
1.34600e-02,1.20e+00,1.62e-01, 
1.35600e-02,1.20e+00,1.84e-01, 
1.36600e-02,8.00e-01,1.62e-01, 
1.37600e-02,1.00e+00,1.85e-01, 
1.38600e-02,8.00e-01,1.63e-01, 
1.39600e-02,8.00e-01,1.84e-01, 
1.40600e-02,6.00e-01,1.62e-01, 
1.41600e-02,6.00e-01,1.60e-01, 
1.42600e-02,6.00e-01,1.83e-01, 
1.43600e-02,4.00e-01,1.86e-01, 
1.44600e-02,2.00e-01,1.62e-01, 
1.45600e-02,4.00e-01,1.82e-01, 
1.46600e-02,2.00e-01,1.62e-01, 
1.47600e-02,0.00e+00,1.81e-01, 
1.48600e-02,-2.00e-01,1.61e-01, 
1.49600e-02,-2.00e-01,1.62e-01, 
1.50600e-02,0.00e+00,1.83e-01, 
1.51600e-02,-2.00e-01,1.60e-01, 
1.52600e-02,-4.00e-01,1.80e-01, 
1.53600e-02,-2.00e-01,1.62e-01, 
1.54600e-02,-6.00e-01,1.83e-01, 
