Second,Volt,Volt2,
-8.00000e-05,1.92e+00,1.91e-01, 
-7.60000e-05,1.96e+00,1.92e-01, 
-7.20000e-05,1.96e+00,1.92e-01, 
-6.80000e-05,1.92e+00,1.90e-01, 
-6.40000e-05,1.94e+00,1.90e-01, 
-6.00000e-05,1.98e+00,1.89e-01, 
-5.60000e-05,1.98e+00,1.89e-01, 
-5.20000e-05,1.92e+00,1.86e-01, 
-4.80000e-05,1.98e+00,1.86e-01, 
-4.40000e-05,1.94e+00,1.82e-01, 
-4.00000e-05,1.98e+00,1.81e-01, 
-3.60000e-05,1.94e+00,1.76e-01, 
-3.20000e-05,1.98e+00,1.78e-01, 
-2.80000e-05,1.96e+00,1.73e-01, 
-2.40000e-05,1.98e+00,1.74e-01, 
-2.00000e-05,2.00e+00,1.76e-01, 
-1.60000e-05,1.96e+00,1.76e-01, 
-1.20000e-05,2.02e+00,1.74e-01, 
-7.99999e-06,1.98e+00,1.74e-01, 
-4.00000e-06,2.00e+00,1.77e-01, 
0.00000e+00,1.98e+00,1.78e-01, 
4.00000e-06,2.02e+00,1.82e-01, 
8.00000e-06,1.98e+00,1.80e-01, 
1.20000e-05,2.02e+00,1.87e-01, 
1.60000e-05,2.02e+00,1.85e-01, 
2.00000e-05,2.00e+00,1.88e-01, 
2.40000e-05,2.02e+00,1.91e-01, 
2.80000e-05,2.06e+00,1.88e-01, 
3.20000e-05,2.02e+00,1.90e-01, 
3.60000e-05,2.06e+00,1.93e-01, 
4.00000e-05,2.00e+00,1.94e-01, 
4.40000e-05,2.06e+00,1.89e-01, 
4.80000e-05,2.02e+00,1.93e-01, 
5.20000e-05,2.06e+00,1.88e-01, 
5.60000e-05,2.02e+00,1.89e-01, 
6.00000e-05,2.06e+00,1.86e-01, 
6.40000e-05,2.06e+00,1.87e-01, 
6.80000e-05,2.04e+00,1.81e-01, 
7.20000e-05,2.06e+00,1.81e-01, 
7.60000e-05,2.08e+00,1.79e-01, 
