Second,Volt,Volt2,
-1.72560e-04,-2.60e-01,1.75e-01, 
-1.72360e-04,-2.40e-01,1.76e-01, 
-1.72160e-04,-2.60e-01,1.75e-01, 
-1.71960e-04,-2.40e-01,1.77e-01, 
-1.71760e-04,-2.20e-01,1.75e-01, 
-1.71560e-04,-2.60e-01,1.74e-01, 
-1.71360e-04,-2.40e-01,1.74e-01, 
-1.71160e-04,-2.60e-01,1.73e-01, 
-1.70960e-04,-2.40e-01,1.72e-01, 
-1.70760e-04,-2.60e-01,1.74e-01, 
-1.70560e-04,-2.20e-01,1.74e-01, 
-1.70360e-04,-2.60e-01,1.74e-01, 
-1.70160e-04,-2.60e-01,1.73e-01, 
-1.69960e-04,-2.20e-01,1.74e-01, 
-1.69760e-04,-2.20e-01,1.74e-01, 
-1.69560e-04,-2.60e-01,1.75e-01, 
-1.69360e-04,-2.40e-01,1.74e-01, 
-1.69160e-04,-2.00e-01,1.73e-01, 
-1.68960e-04,-2.40e-01,1.73e-01, 
-1.68760e-04,-2.00e-01,1.74e-01, 
-1.68560e-04,-2.40e-01,1.73e-01, 
-1.68360e-04,-2.00e-01,1.74e-01, 
-1.68160e-04,-2.60e-01,1.74e-01, 
-1.67960e-04,-2.00e-01,1.72e-01, 
-1.67760e-04,-1.80e-01,1.74e-01, 
-1.67560e-04,-2.20e-01,1.73e-01, 
-1.67360e-04,-2.40e-01,1.74e-01, 
-1.67160e-04,-1.80e-01,1.73e-01, 
-1.66960e-04,-2.20e-01,1.73e-01, 
-1.66760e-04,-1.80e-01,1.74e-01, 
-1.66560e-04,-1.80e-01,1.73e-01, 
-1.66360e-04,-2.20e-01,1.73e-01, 
-1.66160e-04,-2.20e-01,1.73e-01, 
-1.65960e-04,-1.80e-01,1.72e-01, 
-1.65760e-04,-2.00e-01,1.72e-01, 
-1.65560e-04,-1.80e-01,1.73e-01, 
-1.65360e-04,-2.00e-01,1.72e-01, 
-1.65160e-04,-1.80e-01,1.73e-01, 
-1.64960e-04,-1.80e-01,1.72e-01, 
-1.64760e-04,-2.00e-01,1.72e-01, 
-1.64560e-04,-2.00e-01,1.72e-01, 
-1.64360e-04,-1.60e-01,1.71e-01, 
-1.64160e-04,-2.20e-01,1.71e-01, 
-1.63960e-04,-1.80e-01,1.72e-01, 
-1.63760e-04,-2.00e-01,1.73e-01, 
-1.63560e-04,-1.60e-01,1.72e-01, 
-1.63360e-04,-1.80e-01,1.72e-01, 
-1.63160e-04,-1.80e-01,1.73e-01, 
-1.62960e-04,-1.60e-01,1.72e-01, 
-1.62760e-04,-2.00e-01,1.74e-01, 
-1.62560e-04,-1.80e-01,1.74e-01, 
-1.62360e-04,-1.40e-01,1.75e-01, 
-1.62160e-04,-1.80e-01,1.74e-01, 
-1.61960e-04,-1.40e-01,1.75e-01, 
-1.61760e-04,-1.80e-01,1.75e-01, 
-1.61560e-04,-1.40e-01,1.73e-01, 
-1.61360e-04,-1.60e-01,1.73e-01, 
-1.61160e-04,-1.80e-01,1.72e-01, 
-1.60960e-04,-1.60e-01,1.72e-01, 
-1.60760e-04,-1.40e-01,1.71e-01, 
-1.60560e-04,-1.80e-01,1.72e-01, 
-1.60360e-04,-1.40e-01,1.71e-01, 
-1.60160e-04,-1.80e-01,1.72e-01, 
-1.59960e-04,-1.40e-01,1.71e-01, 
-1.59760e-04,-1.60e-01,1.71e-01, 
-1.59560e-04,-1.20e-01,1.70e-01, 
-1.59360e-04,-1.60e-01,1.70e-01, 
-1.59160e-04,-1.20e-01,1.71e-01, 
-1.58960e-04,-1.20e-01,1.70e-01, 
-1.58760e-04,-1.60e-01,1.71e-01, 
-1.58560e-04,-1.60e-01,1.70e-01, 
-1.58360e-04,-1.20e-01,1.72e-01, 
-1.58160e-04,-1.20e-01,1.71e-01, 
-1.57960e-04,-1.60e-01,1.72e-01, 
-1.57760e-04,-1.40e-01,1.72e-01, 
-1.57560e-04,-1.20e-01,1.72e-01, 
-1.57360e-04,-1.20e-01,1.72e-01, 
-1.57160e-04,-1.60e-01,1.71e-01, 
-1.56960e-04,-1.60e-01,1.71e-01, 
-1.56760e-04,-1.00e-01,1.72e-01, 
-1.56560e-04,-1.40e-01,1.72e-01, 
-1.56360e-04,-1.20e-01,1.73e-01, 
-1.56160e-04,-1.20e-01,1.72e-01, 
-1.55960e-04,-1.40e-01,1.71e-01, 
-1.55760e-04,-1.20e-01,1.71e-01, 
-1.55560e-04,-1.00e-01,1.73e-01, 
-1.55360e-04,-1.40e-01,1.72e-01, 
-1.55160e-04,-1.00e-01,1.70e-01, 
-1.54960e-04,-1.00e-01,1.70e-01, 
-1.54760e-04,-1.40e-01,1.71e-01, 
-1.54560e-04,-1.20e-01,1.71e-01, 
-1.54360e-04,-1.00e-01,1.70e-01, 
-1.54160e-04,-1.20e-01,1.70e-01, 
-1.53960e-04,-8.00e-02,1.69e-01, 
-1.53760e-04,-1.20e-01,1.69e-01, 
-1.53560e-04,-1.00e-01,1.70e-01, 
-1.53360e-04,-1.20e-01,1.70e-01, 
-1.53160e-04,-8.00e-02,1.69e-01, 
-1.52960e-04,-1.20e-01,1.69e-01, 
-1.52760e-04,-8.00e-02,1.70e-01, 
-1.52560e-04,-1.20e-01,1.70e-01, 
-1.52360e-04,-8.00e-02,1.71e-01, 
-1.52160e-04,-1.20e-01,1.71e-01, 
-1.51960e-04,-8.00e-02,1.72e-01, 
-1.51760e-04,-1.20e-01,1.71e-01, 
-1.51560e-04,-8.00e-02,1.72e-01, 
-1.51360e-04,-6.00e-02,1.72e-01, 
-1.51160e-04,-1.00e-01,1.74e-01, 
-1.50960e-04,-1.00e-01,1.72e-01, 
-1.50760e-04,-6.00e-02,1.73e-01, 
-1.50560e-04,-8.00e-02,1.73e-01, 
-1.50360e-04,-1.00e-01,1.74e-01, 
-1.50160e-04,-1.00e-01,1.74e-01, 
-1.49960e-04,-4.00e-02,1.72e-01, 
-1.49760e-04,-8.00e-02,1.73e-01, 
-1.49560e-04,-6.00e-02,1.72e-01, 
