,CH1,CH3
Second,Volt,Volt
-8.37800e-05,-2.20e-01,1.74e-01, 
-8.36800e-05,-2.00e-01,1.74e-01, 
-8.35800e-05,-2.40e-01,1.73e-01, 
-8.34800e-05,-1.80e-01,1.73e-01, 
-8.33800e-05,-2.20e-01,1.74e-01, 
-8.32800e-05,-2.20e-01,1.73e-01, 
-8.31800e-05,-1.80e-01,1.74e-01, 
-8.30800e-05,-2.00e-01,1.74e-01, 
-8.29800e-05,-1.80e-01,1.74e-01, 
-8.28800e-05,-2.00e-01,1.74e-01, 
-8.27800e-05,-1.80e-01,1.75e-01, 
-8.26800e-05,-1.80e-01,1.74e-01, 
-8.25800e-05,-2.00e-01,1.74e-01, 
-8.24800e-05,-1.60e-01,1.74e-01, 
-8.23800e-05,-2.00e-01,1.75e-01, 
-8.22800e-05,-1.80e-01,1.74e-01, 
-8.21800e-05,-2.00e-01,1.75e-01, 
-8.20800e-05,-1.80e-01,1.75e-01, 
-8.19800e-05,-1.80e-01,1.75e-01, 
-8.18800e-05,-1.80e-01,1.75e-01, 
-8.17800e-05,-1.60e-01,1.76e-01, 
-8.16800e-05,-1.80e-01,1.76e-01, 
-8.15800e-05,-1.60e-01,1.76e-01, 
-8.14800e-05,-1.80e-01,1.76e-01, 
-8.13800e-05,-1.40e-01,1.76e-01, 
-8.12800e-05,-2.00e-01,1.76e-01, 
-8.11800e-05,-1.40e-01,1.75e-01, 
-8.10800e-05,-1.80e-01,1.76e-01, 
-8.09800e-05,-1.40e-01,1.75e-01, 
-8.08800e-05,-1.80e-01,1.75e-01, 
-8.07800e-05,-1.40e-01,1.74e-01, 
-8.06800e-05,-1.80e-01,1.75e-01, 
-8.05800e-05,-1.40e-01,1.74e-01, 
-8.04800e-05,-1.40e-01,1.74e-01, 
-8.03800e-05,-1.80e-01,1.73e-01, 
-8.02800e-05,-1.40e-01,1.74e-01, 
-8.01800e-05,-1.80e-01,1.72e-01, 
-8.00800e-05,-1.80e-01,1.72e-01, 
-7.99800e-05,-1.40e-01,1.73e-01, 
-7.98800e-05,-1.60e-01,1.72e-01, 
-7.97800e-05,-1.20e-01,1.71e-01, 
-7.96800e-05,-1.60e-01,1.72e-01, 
-7.95800e-05,-1.20e-01,1.73e-01, 
-7.94800e-05,-1.60e-01,1.73e-01, 
-7.93800e-05,-1.20e-01,1.74e-01, 
-7.92800e-05,-1.20e-01,1.73e-01, 
-7.91800e-05,-1.60e-01,1.73e-01, 
-7.90800e-05,-1.20e-01,1.73e-01, 
-7.89800e-05,-1.60e-01,1.73e-01, 
-7.88800e-05,-1.60e-01,1.73e-01, 
-7.87800e-05,-1.20e-01,1.74e-01, 
-7.86800e-05,-1.20e-01,1.73e-01, 
-7.85800e-05,-1.40e-01,1.75e-01, 
-7.84800e-05,-1.00e-01,1.74e-01, 
-7.83800e-05,-1.40e-01,1.75e-01, 
-7.82800e-05,-1.00e-01,1.74e-01, 
-7.81800e-05,-1.60e-01,1.75e-01, 
-7.80800e-05,-1.40e-01,1.74e-01, 
-7.79800e-05,-1.00e-01,1.73e-01, 
-7.78800e-05,-1.20e-01,1.73e-01, 
-7.77800e-05,-1.00e-01,1.74e-01, 
-7.76800e-05,-1.40e-01,1.73e-01, 
-7.75800e-05,-1.00e-01,1.72e-01, 
-7.74800e-05,-1.20e-01,1.72e-01, 
-7.73800e-05,-1.00e-01,1.73e-01, 
-7.72800e-05,-1.20e-01,1.72e-01, 
-7.71800e-05,-1.00e-01,1.73e-01, 
-7.70800e-05,-1.00e-01,1.74e-01, 
-7.69800e-05,-1.20e-01,1.73e-01, 
-7.68800e-05,-8.00e-02,1.72e-01, 
-7.67800e-05,-1.20e-01,1.73e-01, 
