Second,Volt,Volt2,
-3.66000e-04,-1.16e+00,1.73e-01, 
-3.65600e-04,-1.18e+00,1.73e-01, 
-3.65200e-04,-1.16e+00,1.72e-01, 
-3.64800e-04,-1.14e+00,1.72e-01, 
-3.64400e-04,-1.20e+00,1.71e-01, 
-3.64000e-04,-1.18e+00,1.72e-01, 
-3.63600e-04,-1.16e+00,1.70e-01, 
-3.63200e-04,-1.18e+00,1.70e-01, 
-3.62800e-04,-1.14e+00,1.71e-01, 
-3.62400e-04,-1.18e+00,1.70e-01, 
-3.62000e-04,-1.14e+00,1.72e-01, 
-3.61600e-04,-1.14e+00,1.72e-01, 
-3.61200e-04,-1.16e+00,1.73e-01, 
-3.60800e-04,-1.12e+00,1.74e-01, 
-3.60400e-04,-1.16e+00,1.72e-01, 
-3.60000e-04,-1.16e+00,1.74e-01, 
-3.59600e-04,-1.12e+00,1.75e-01, 
-3.59200e-04,-1.14e+00,1.75e-01, 
-3.58800e-04,-1.12e+00,1.73e-01, 
-3.58400e-04,-1.14e+00,1.73e-01, 
-3.58000e-04,-1.12e+00,1.75e-01, 
-3.57600e-04,-1.12e+00,1.75e-01, 
-3.57200e-04,-1.14e+00,1.73e-01, 
-3.56800e-04,-1.12e+00,1.72e-01, 
-3.56400e-04,-1.14e+00,1.75e-01, 
-3.56000e-04,-1.14e+00,1.74e-01, 
-3.55600e-04,-1.10e+00,1.73e-01, 
-3.55200e-04,-1.12e+00,1.73e-01, 
-3.54800e-04,-1.10e+00,1.75e-01, 
-3.54400e-04,-1.12e+00,1.74e-01, 
-3.54000e-04,-1.10e+00,1.76e-01, 
-3.53600e-04,-1.12e+00,1.76e-01, 
-3.53200e-04,-1.08e+00,1.75e-01, 
-3.52800e-04,-1.08e+00,1.74e-01, 
-3.52400e-04,-1.12e+00,1.76e-01, 
-3.52000e-04,-1.12e+00,1.75e-01, 
-3.51600e-04,-1.06e+00,1.76e-01, 
-3.51200e-04,-1.12e+00,1.73e-01, 
-3.50800e-04,-1.08e+00,1.75e-01, 
-3.50400e-04,-1.10e+00,1.77e-01, 
-3.50000e-04,-1.06e+00,1.76e-01, 
-3.49600e-04,-1.06e+00,1.74e-01, 
-3.49200e-04,-1.10e+00,1.77e-01, 
-3.48800e-04,-1.04e+00,1.77e-01, 
-3.48400e-04,-1.10e+00,1.74e-01, 
-3.48000e-04,-1.08e+00,1.73e-01, 
-3.47600e-04,-1.04e+00,1.75e-01, 
-3.47200e-04,-1.08e+00,1.75e-01, 
-3.46800e-04,-1.04e+00,1.78e-01, 
-3.46400e-04,-1.04e+00,1.77e-01, 
-3.46000e-04,-1.06e+00,1.76e-01, 
-3.45600e-04,-1.04e+00,1.76e-01, 
-3.45200e-04,-1.08e+00,1.78e-01, 
-3.44800e-04,-1.04e+00,1.76e-01, 
-3.44400e-04,-1.04e+00,1.78e-01, 
-3.44000e-04,-1.04e+00,1.78e-01, 
-3.43600e-04,-1.04e+00,1.75e-01, 
-3.43200e-04,-1.04e+00,1.75e-01, 
-3.42800e-04,-1.06e+00,1.77e-01, 
-3.42400e-04,-1.04e+00,1.76e-01, 
-3.42000e-04,-1.02e+00,1.78e-01, 
-3.41600e-04,-1.04e+00,1.77e-01, 
-3.41200e-04,-1.02e+00,1.79e-01, 
-3.40800e-04,-1.04e+00,1.79e-01, 
-3.40400e-04,-1.00e+00,1.78e-01, 
-3.40000e-04,-1.04e+00,1.79e-01, 
-3.39600e-04,-1.00e+00,1.76e-01, 
-3.39200e-04,-1.00e+00,1.77e-01, 
-3.38800e-04,-1.04e+00,1.75e-01, 
-3.38400e-04,-1.04e+00,1.75e-01, 
-3.38000e-04,-9.80e-01,1.77e-01, 
-3.37600e-04,-1.02e+00,1.76e-01, 
-3.37200e-04,-9.80e-01,1.76e-01, 
-3.36800e-04,-1.00e+00,1.76e-01, 
-3.36400e-04,-9.80e-01,1.75e-01, 
-3.36000e-04,-9.80e-01,1.76e-01, 
-3.35600e-04,-1.00e+00,1.78e-01, 
-3.35200e-04,-9.60e-01,1.78e-01, 
-3.34800e-04,-1.00e+00,1.76e-01, 
-3.34400e-04,-9.80e-01,1.77e-01, 
-3.34000e-04,-1.02e+00,1.75e-01, 
-3.33600e-04,-9.80e-01,1.76e-01, 
-3.33200e-04,-9.40e-01,1.75e-01, 
-3.32800e-04,-9.60e-01,1.77e-01, 
-3.32400e-04,-9.80e-01,1.75e-01, 
-3.32000e-04,-9.80e-01,1.76e-01, 
-3.31600e-04,-9.40e-01,1.74e-01, 
-3.31200e-04,-9.80e-01,1.74e-01, 
-3.30800e-04,-9.60e-01,1.75e-01, 
-3.30400e-04,-9.80e-01,1.76e-01, 
-3.30000e-04,-9.40e-01,1.76e-01, 
-3.29600e-04,-9.40e-01,1.76e-01, 
